id,group,lane,task,label,type,start,end,owners
general-meeting-all-members,Standing meetings,pgm,General meeting — all members,Fridays 12–1 pm,bar,2026-09-04,2026-12-12,geo
senior-design-block-a,Standing meetings,pgm,Senior design — block A,2–3 pm,bar,2026-09-04,2026-12-12,ant
ee-senior-design,Standing meetings,pgm,EE senior design,Thursdays 11 am–12 pm,bar,2026-09-03,2026-12-10,ron min
me-senior-design-2,Standing meetings,pgm,ME senior design #2,time as posted,bar,2026-09-04,2026-12-12,fra
advisor-sync-dr-wang,Standing meetings,pgm,Advisor sync — Dr. Wang,time to confirm,tbd,2026-09-08,2026-12-12,geo
off-road-targets-read-the-requirement,Deliverable research — report back 11 Sept,vse,Off-Road Targets — read the requirement,report specifics,bar,2026-09-02,2026-09-11,ron
off-road-targets-battery-and-mass-angle,Deliverable research — report back 11 Sept,vse,Off-Road Targets — battery and mass angle,report specifics,bar,2026-09-02,2026-09-11,dav
off-road-targets-packaging-and-geometry,Deliverable research — report back 11 Sept,vse,Off-Road Targets — packaging and geometry,report specifics,bar,2026-09-02,2026-09-11,fra
baseline-vehicle-testing-read-the-requirement,Deliverable research — report back 11 Sept,vse,Baseline Vehicle Testing — read the requirement,report specifics,bar,2026-09-02,2026-09-11,min
pit-requirements-read-all-seven-components,Deliverable research — report back 11 Sept,vse,PIT requirements — read all seven components,report specifics + dates,bar,2026-09-02,2026-09-11,aya
read-vdr-rev-0-end-to-end,Deliverable research — report back 11 Sept,vse,Read VDR Rev 0 end to end,one page of what binds us,bar,2026-09-01,2026-09-11,ant
questions-to-the-organizers,Deliverable research — report back 11 Sept,vse,Questions to the organizers,"section, request, our understanding",bar,2026-09-01,2026-09-08,ant
oversee-all-stla-deliverables,Deliverable research — report back 11 Sept,vse,Oversee all STLA deliverables,all year,bar,2026-09-01,2027-06-30,ant
name-all-fourteen-required-roles,Program & project management,pgm,Name all fourteen required roles,four track leads first,bar,2026-09-01,2026-09-17,geo
email-dr-wang-siemens-licence-and-training,Program & project management,pgm,Email Dr. Wang — Siemens licence and training,this week,milestone,2026-09-04,,geo
fall-workshop-registration-closes,Program & project management,pgm,Fall Workshop registration closes,end of day,milestone,2026-09-04,,geo
rev-1-releases-re-baseline,Program & project management,pgm,Rev 1 releases — re-baseline,major documentation update,bar,2026-09-04,2026-09-09,geo
team-structure-funded-position-applications,Program & project management,pgm,Team structure + funded position applications,end of day,milestone,2026-09-17,,geo
signed-good-faith-agreements,Program & project management,pgm,Signed Good Faith Agreements,end of day,milestone,2026-09-18,,geo
student-leadership-council-applications,Program & project management,pgm,Student Leadership Council applications,end of day,milestone,2026-09-18,,new
fall-workshop-atlanta,Program & project management,pgm,"Fall Workshop, Atlanta",24–26 September,bar,2026-09-24,2026-09-26,geo ant
case-study-reflection,Program & project management,pgm,Case study → reflection,case 10 Sept · update 20 Sept,bar,2026-09-10,2026-10-08,geo
fall-workshop-case-study-reflection,Program & project management,pgm,Fall Workshop Case Study Reflection,graded · 8 Oct,milestone,2026-10-08,,geo
integrated-year-1-workplan,Program & project management,pgm,Integrated Year 1 Workplan,build,bar,2026-09-15,2026-11-05,geo nat
integrated-year-1-workplan-2,Program & project management,pgm,Integrated Year 1 Workplan,graded · 12 Nov,milestone,2026-11-12,,geo
integrated-master-schedule,Program & project management,pgm,Integrated Master Schedule,"PM materials, dependencies, dates",bar,2026-09-08,2026-11-12,nat
university-stakeholder-meeting-preparation,Program & project management,pgm,University stakeholder meeting — preparation,graded · 28 Jan,milestone,2027-01-28,,geo
stakeholder-meeting-proof-of-execution,Program & project management,pgm,Stakeholder meeting — proof of execution,graded · 18 Mar,milestone,2027-03-18,,geo
project-status-update-assurance-review,Program & project management,pgm,Project Status Update & Assurance Review,graded · 8 Apr,milestone,2027-04-08,,geo
friday-workshops-matlab-track,Onboarding & workshops,vhi,Friday workshops — MATLAB track,"12–1, weekly",bar,2026-09-04,2026-10-30,ron geo
friday-workshops-nx-track,Onboarding & workshops,vhi,Friday workshops — NX track,"12–1, weekly",bar,2026-09-04,2026-10-30,fra jef
nx-onboarding-documents-materials,Onboarding & workshops,vhi,NX onboarding documents & materials,is the deliverable,bar,2026-09-08,2026-10-10,jef dor fra ant
senior-design-scope-lock,Onboarding & workshops,vhi,Senior design scope lock,"3 sessions, Fridays 1–2",bar,2026-09-04,2026-09-18,geo
photo-video-and-headshots,Onboarding & workshops,vhi,"Photo, video and headshots","one session, everyone",milestone,2026-09-11,,geo
fall-workshop-teach-backs,Onboarding & workshops,vhi,Fall Workshop teach-backs,15 min from every attendee,milestone,2026-10-02,,ant geo
off-road-benchmarking-spreadsheet,VSE — vehicle systems engineering,vse,Off-road benchmarking spreadsheet,one vehicle per new member,bar,2026-09-08,2026-10-10,ant new
off-road-performance-targets,VSE — vehicle systems engineering,vse,Off-Road Performance Targets,build,bar,2026-09-15,2026-10-23,ant ron dav fra
freeze-red-team,VSE — vehicle systems engineering,vse,Freeze & red team,T−5 working days,freeze,2026-10-23,2026-10-29,ant
off-road-performance-target-development,VSE — vehicle systems engineering,vse,Off-Road Performance Target Development,graded · LARGE · 29 Oct,milestone,2026-10-29,,ant
three-architecture-matrix,VSE — vehicle systems engineering,vse,Three-architecture matrix,build &times;3,bar,2026-10-02,2027-03-15,ant ron
final-technical-report-itec-digest,VSE — vehicle systems engineering,vse,Final Technical Report — ITEC digest,build,bar,2026-10-15,2026-12-12,ant
