lead_key,lane,accountable_for,due,this_week,evidence_to_show,blocked_on,last_reported
geo,PM,Team Leadership and Operation Proposal - the funding gate,2026-09-18,Fill the leadership workbook and the one-slide org chart; confirm PM eligibility (graduate engineering enrolment or an engineering undergraduate degree),The Bounding Req. tab with a named student against each of the seven eligibility rules,Faculty advisor sign-off on the funding allocation form,2026-09-08
geo,PM,Integrated Year 1 Workplan,2026-11-12,Rewrite the five strategic drivers into the Rev 3 four-field shape - Driver / Intent / Impact on the Workplan / Success Measure,The drivers file with all four fields populated per driver,,2026-09-08
ant,VSE,Off-Road Performance Target Development,2026-10-29,Read the Vehicle Design Rules end to end and produce the one-page summary of what binds us,One page listing every requirement that constrains a design decision this year,,2026-09-08
ant,VSE,Vehicle Design Rules summary and STLA oversight,2026-09-11,Confirm whether the Systems Architecture Lead title sits with you or with David - it must sit in the VSE swimlane,A named person against the Systems Architecture Lead role,Leadership decision on the title,2026-09-08
fra,VHI,CAD Data Management Readiness,2026-10-15,Chase the university IT ticket for Teamcenter and the NX licence; draft the eight-step workflow diagram,The ticket number with an owner and a response date; the diagram in draft,University IT response time,2026-09-08
ron,PCM,PCM Tool Check,2026-11-05,Confirm the two-controller rule against the hardware plan - propulsion and battery controls must be on separate dedicated controllers,A written confirmation or a flagged conflict against the current plan,,2026-09-08
ron,PCM,PCM onboarding guide - the graded artifact,2026-10-15,Start the guide now; it is the entire 5 November submission and it must be complete three weeks early,Section headings and the install checklist in draft,,2026-09-08
dav,HVB,Battery Performance Target Development,2026-11-19,Run the pack configuration sweep inside the 1.0-5.0 kWh window and check per-cell C-rate before Atlanta,The configuration spreadsheet showing energy and power against parallel count,Sponsored cell specifications have not shipped,2026-09-08
min,VHI,Baseline Vehicle Testing measurement plan,2026-12-10,Write the measurement plan behind the December simulation so the spring campaign is not designed in April,A signal list and a test matrix in draft,,2026-09-08
nat,PM,Integrated Master Schedule,2026-11-12,Map dependencies and academic conflicts across all four senior design teams,The dependency map with the top five schedule risks named,,2026-09-08
aya,PIT,Studio 1 Check-In - Business Portfolio Review,2026-11-12,Read the PIT requirements and report which items are scored and what the Gate 1 format is,A one-page summary quoting the requirement text and naming what we cannot answer yet,Several PIT fields are still marked DRAFT - TBD in Rev 3,2026-09-08
mar,MarCom,Green Garage Blog 1,2026-10-08,Name an interim owner today; confirm the 11 September shoot; start the LinkedIn analytics log and the outreach log,Three high-resolution team photos and a draft blog against the Box template,No MarCom Manager - and the seat requires a Communications-family major,2026-09-08
fra,VHI,CAD onboarding guide - 40 percent of the CAD deliverable,2026-09-26,Have Dorian and Jeff write the two-page guide and have a different new member follow it,The guide plus a note of everything that broke when someone followed it,,2026-09-08
