id,lane,title,mentor_key,timebox,artifact,acceptance,senior_design_fit
ON-01,vse,Benchmark one production off-road vehicle,ant,90 minutes,One completed benchmark row,Every required metric has a value or explicitly marked gap plus a public source,Good starter research; may support requirements work without becoming a separate design scope
ON-02,vhi,Create and release one practice NX part,fra,90 minutes,Practice part plus release screenshot,Follows naming revision check-in review and archive workflow,Training artifact only; no ownership conflict with a Senior Design component
ON-03,pcm,Run the virtual vehicle model once,ron,120 minutes,Run log plus one labeled plot,Model opens runs and result can be reproduced from the guide,Builds tool skill before assigning analysis owned by Senior Design
ON-04,hvb,Audit one battery calculation chain,dav,90 minutes,Checked calculation note,Units assumptions source and independent arithmetic check are recorded,Useful verification task that does not replace battery design ownership
ON-05,vhi,Write one testable CAD workflow acceptance check,jef,60 minutes,One checklist entry,A new member can follow it without verbal help,Documentation contribution with immediate value
ON-06,pgm,Validate one deliverable card against its source section,geo,60 minutes,One corrected requirements checklist,Artifacts limits naming and source section all agree,Project contribution separate from technical design credit
ON-07,biz,Draft one team-member spotlight package,mar,90 minutes,Draft copy consent check and image specification,Uses approved facts and records consent before publication,Flexible communications task with visible impact
ON-08,vse,Turn one vehicle goal into a measurable target,ant,90 minutes,One requirement statement with rationale,Value unit source rationale and verification method are present,Can feed Senior Design when the faculty-approved scope references the same requirement
ON-09,pcm,Improve one onboarding instruction,ron,45 minutes,One pull request or reviewed edit,A first-time user can complete the step and recover from one common error,Small bounded contribution with no duplicate technical ownership
ON-10,pgm,Log one dependency or decision,geo,45 minutes,One complete register row,Owner needed-by date source impact and next action are present,Helps coordinate Senior Design interfaces without managing its academic deliverables
